时间,振动幅值,温度
0.0,0.010016,24.418
2.1e-05,-0.023788,25.222
4.2e-05,-0.007929,25.418
6.2e-05,0.078876,24.756
8.3e-05,0.202824,24.754
0.000104,0.289212,24.969
0.000125,0.272519,25.372
0.000146,0.174863,25.109
0.000167,0.068443,24.65
0.000188,0.020867,24.849
0.000208,0.0626,25.033
0.000229,0.13772,24.54
0.00025,0.215344,24.825
0.000271,0.308827,24.759
0.000292,0.411491,24.942
0.000312,0.54462,24.896
0.000333,0.649371,25.116
0.000354,0.694025,24.632
0.000375,0.616819,25.176
0.000396,0.439869,25.071
0.000417,0.281283,25.277
0.000438,0.151492,24.248
0.000458,0.08764,25.123
0.000479,0.032969,25.185
0.0005,-0.0313,25.118
0.000521,-0.065939,25.22
0.000542,-0.058844,24.969
0.000562,-0.005843,25.164
0.000583,0.001669,24.745
0.000604,-0.067608,25.127
0.000625,-0.182792,25.533
0.000646,-0.295055,25.015
0.000667,-0.317591,25.001
0.000688,-0.272519,24.67
0.000708,-0.189052,24.979
0.000729,-0.074285,25.015
0.00075,0.040899,25.297
0.000771,0.1565,24.36
0.000792,0.247896,25.006
0.000812,0.281283,24.614
0.000833,0.240801,25.169
0.000854,0.136468,25.173
0.000875,0.010851,25.197
0.000896,-0.092231,25.442
0.000917,-0.170272,25.004
0.000938,-0.216179,25.237
0.000958,-0.273771,25.158
0.000979,-0.295472,25.219
0.001,-0.233289,25.276
0.001021,-0.095569,25.131
0.001042,0.107672,25.038
0.001062,0.280448,24.269
0.001083,0.408987,25.064
0.001104,0.438617,25.197
0.001125,0.378939,25.037
0.001146,0.301315,24.805
0.001167,0.16902,25.236
0.001188,0.004173,25.253
0.001208,-0.174445,24.211
0.001229,-0.312583,25.026
0.00125,-0.313,24.733
0.001271,-0.244557,24.818
0.001292,-0.122696,25.172
0.001312,0.030465,25.34
0.001333,0.137303,24.85
0.001354,0.23162,24.806
0.001375,0.267511,24.827
0.001396,0.284204,25.013
0.001417,0.247479,25.146
0.001438,0.098491,24.706
0.001458,-0.043403,25.037
0.001479,-0.144397,24.75
0.0015,-0.145649,24.871
0.001521,-0.067608,25.375
0.001542,-0.007095,24.512
0.001562,0.031717,25.098
0.001583,0.021284,25.237
0.001604,-0.007929,25.075
0.001625,-0.020032,24.846
0.001646,-0.042151,24.546
0.001667,-0.077207,24.517
0.001688,-0.140224,25.173
0.001708,-0.141893,25.172
0.001729,-0.036725,25.141
0.00175,0.083467,24.969
0.001771,0.216179,24.511
0.001792,0.255408,25.312
0.001812,0.172776,25.095
0.001833,0.034639,25.495
0.001854,-0.184044,24.579
0.001875,-0.396884,24.518
0.001896,-0.614732,24.7
0.001917,-0.673993,24.397
0.001938,-0.4382,25.727
0.001958,0.055088,24.559
0.001979,0.821312,25.313
0.002,1.640955,24.795
0.002021,2.231481,25.16
0.002042,2.489393,24.935
0.002062,2.503165,25.148
0.002083,2.279057,24.972
0.002104,1.905961,24.989
0.002125,1.463588,25.511
0.002146,0.962371,24.826
0.002167,0.46324,25.085
0.002188,0.102664,25.141
0.002208,0.025875,24.788
0.002229,0.064269,25.141
0.00225,0.098491,25.125
0.002271,-0.089309,24.672
0.002292,-0.549211,24.657
0.002312,-0.993671,25.033
0.002333,-1.278292,24.694
0.002354,-1.335049,24.978
0.002375,-1.168116,25.246
0.002396,-0.829241,25.084
0.002417,-0.442791,24.627
0.002438,-0.010016,24.741
0.002458,0.488697,25.276
0.002479,0.895597,24.883
0.0025,1.061696,25.014
0.002521,0.948599,24.739
0.002542,0.560896,24.962
0.002562,-0.019615,25.147
0.002583,-0.684844,25.018
0.002604,-1.371775,24.924
0.002625,-1.916812,24.429
0.002646,-2.183905,24.992
0.002667,-2.05954,24.836
0.002688,-1.548307,24.989
0.002708,-0.780831,25.458
0.002729,0.053419,24.969
0.00275,0.764555,25.225
0.002771,1.36468,24.544
0.002792,1.775336,24.695
0.002812,1.899701,25.187
0.002833,1.723587,25.139
0.002854,1.243653,24.73
0.002875,0.564652,25.126
0.002896,-0.146901,24.939
0.002917,-0.691104,25.008
0.002938,-0.997427,25.387
0.002958,-1.110524,25.189
0.002979,-1.130556,25.103
0.003,-1.077137,24.832
0.003021,-0.958197,24.923
0.003042,-0.757043,24.703
0.003062,-0.47576,24.842
0.003083,-0.216596,25.089
0.003104,-0.035891,25.025
0.003125,-0.030465,25.441
0.003146,-0.092231,24.608
0.003167,-0.10016,24.79
0.003188,-0.078459,25.103
0.003208,-0.011685,24.918
0.003229,0.065939,24.829
0.00325,0.165681,25.005
0.003271,0.280031,25.33
0.003292,0.380191,25.036
0.003312,0.449885,25.294
0.003333,0.405648,25.566
0.003354,0.245392,25.26
0.003375,0.022536,24.725
0.003396,-0.152327,25.121
0.003417,-0.206997,25.001
0.003438,-0.207415,24.296
0.003458,-0.128121,24.679
0.003479,0.041316,24.495
0.0035,0.300897,25.17
0.003521,0.648536,24.992
0.003542,0.977812,25.011
0.003562,1.200668,24.983
0.003583,1.216527,25.327
0.003604,1.075885,25.15
0.003625,0.896849,25.157
0.003646,0.705711,25.147
0.003667,0.558392,24.861
0.003688,0.421924,25.378
0.003708,0.291299,25.117
0.003729,0.223691,25.613
0.00375,0.233707,25.709
0.003771,0.334701,24.664
0.003792,0.457815,24.846
0.003812,0.515824,24.703
0.003833,0.491619,24.844
0.003854,0.403979,24.932
0.003875,0.334284,24.962
0.003896,0.304653,25.026
0.003917,0.278779,25.011
0.003938,0.26918,24.895
0.003958,0.244975,25.355
0.003979,0.212423,24.911
0.004,0.199903,25.246
0.004021,0.191139,25.05
0.004042,0.099325,24.711
0.004062,-0.070112,25.089
0.004083,-0.217431,24.497
0.004104,-0.301315,24.946
0.004125,-0.277944,24.623
