时间,振动幅值,温度
0.0,0.893511,25.171
2.1e-05,0.58844,25.267
4.2e-05,0.154413,24.884
6.2e-05,-0.320512,24.902
8.3e-05,-0.722404,25.351
0.000104,-0.970717,25.268
0.000125,-1.034152,25.079
0.000146,-0.905196,25.038
0.000167,-0.596369,24.731
0.000188,-0.177367,24.872
0.000208,0.290047,25.235
0.000229,0.736176,25.063
0.00025,1.033735,24.854
0.000271,1.130973,25.356
0.000292,1.008695,24.987
0.000312,0.677749,24.511
0.000333,0.249983,25.289
0.000354,-0.199903,25.451
0.000375,-0.585519,24.668
0.000396,-0.837588,25.165
0.000417,-0.939835,24.98
0.000438,-0.835501,24.703
0.000458,-0.540864,24.822
0.000479,-0.113932,24.71
0.0005,0.351812,25.181
0.000521,0.715727,24.958
0.000542,0.918551,24.725
0.000562,0.944425,24.989
0.000583,0.798776,25.455
0.000604,0.503721,24.959
0.000625,0.123948,24.895
0.000646,-0.266676,24.871
0.000667,-0.605968,24.837
0.000688,-0.812965,24.529
0.000708,-0.863463,25.031
0.000729,-0.772484,25.213
0.00075,-0.571747,25.557
0.000771,-0.309244,25.1
0.000792,-0.015859,24.788
0.000812,0.257912,25.349
0.000833,0.444877,25.631
0.000854,0.526675,24.766
0.000875,0.489115,24.841
0.000896,0.340127,24.393
0.000917,0.1252,24.794
0.000938,-0.090561,25.383
0.000958,-0.257912,25.274
0.000979,-0.367253,24.767
0.001,-0.414412,25.485
0.001021,-0.398971,25.328
0.001042,-0.320095,25.24
0.001062,-0.197399,24.503
0.001083,-0.067191,24.89
0.001104,0.032135,24.964
0.001125,0.074703,25.16
0.001146,0.077207,25.545
0.001167,0.073868,24.823
0.001188,0.063017,24.781
0.001208,0.034221,25.439
0.001229,0.001252,25.199
0.00125,-0.028796,24.842
0.001271,-0.027961,24.964
0.001292,0.022119,24.715
0.001312,0.096821,24.819
0.001333,0.146067,24.909
0.001354,0.130625,25.09
0.001375,0.073451,25.525
0.001396,0.001252,24.559
