时间,振动幅值,温度
0.0,0.053197,25.529
2.1e-05,0.088662,25.12
4.2e-05,0.099718,25.294
6.2e-05,0.058621,25.672
8.3e-05,-0.00459,25.56
0.000104,-0.056952,24.707
0.000125,-0.071764,25.285
0.000146,-0.058621,24.955
0.000167,-0.046521,24.969
0.000188,-0.049859,25.123
0.000208,-0.051111,25.043
0.000229,-0.015646,25.436
0.00025,0.045895,25.228
0.000271,0.092208,25.037
0.000292,0.091791,25.133
0.000312,0.060498,25.1
0.000333,0.024408,25.448
0.000354,-0.000209,24.938
0.000375,0.017524,25.094
0.000396,0.026286,24.744
0.000417,-0.003546,24.234
0.000438,-0.041097,25.196
0.000458,-0.062376,25.259
0.000479,-0.032544,24.777
0.0005,0.005007,25.681
0.000521,0.02858,24.564
0.000542,0.043809,25.014
0.000562,0.040889,24.944
0.000583,0.055283,25.46
0.000604,0.085324,25.441
0.000625,0.10848,25.046
0.000646,0.099092,25.113
0.000667,0.05883,24.734
0.000688,0.031501,24.406
0.000708,0.01961,24.896
0.000729,0.029415,25.047
0.00075,0.06029,25.369
0.000771,0.075727,25.361
0.000792,0.066966,24.884
0.000812,0.059038,24.909
0.000833,0.064045,24.685
0.000854,0.070095,24.574
0.000875,0.0678,24.488
0.000896,0.044435,25.585
0.000917,0.02107,24.847
0.000938,0.017315,24.869
0.000958,0.041306,24.624
0.000979,0.096589,25.233
0.001,0.140815,24.516
0.001021,0.150412,24.936
0.001042,0.139981,24.731
0.001062,0.120162,25.116
0.001083,0.099092,24.847
0.001104,0.081569,24.646
0.001125,0.051945,24.992
0.001146,0.00605,25.128
0.001167,-0.038177,25.02
0.001188,-0.051737,25.091
0.001208,-0.021487,24.81
0.001229,0.020653,24.891
0.00125,0.044852,24.798
0.001271,0.058621,24.892
0.001292,0.065922,24.756
0.001312,0.071764,24.482
0.001333,0.07239,25.053
0.001354,0.031084,24.879
0.001375,-0.039846,24.511
0.001396,-0.124752,25.139
0.001417,-0.183164,24.728
0.001438,-0.173359,25.016
0.001458,-0.136226,25.219
0.001479,-0.065297,25.039
0.0015,0.00459,25.342
0.001521,0.058204,24.63
0.001542,0.098675,25.121
0.001562,0.07239,24.795
0.001583,0.01815,24.739
0.001604,-0.061333,24.826
0.001625,-0.148951,24.907
0.001646,-0.19589,25.017
0.001667,-0.198602,24.65
0.001688,-0.133514,25.27
0.001708,-0.048607,25.14
0.001729,0.030249,24.539
0.00175,0.082403,25.446
0.001771,0.109106,25.569
0.001792,0.125795,25.354
0.001812,0.091791,24.946
0.001833,0.03463,24.679
0.001854,-0.044435,25.316
0.001875,-0.110775,24.879
0.001896,-0.127464,25.367
0.001917,-0.106602,25.062
0.001938,-0.046313,25.293
0.001958,0.005424,25.107
0.001979,0.040263,25.212
0.002,0.086367,25.003
0.002021,0.124961,25.536
0.002042,0.134974,25.038
0.002062,0.098466,25.121
0.002083,0.020236,25.565
0.002104,-0.069886,24.596
0.002125,-0.131219,24.619
0.002146,-0.133931,25.291
0.002167,-0.083863,24.648
0.002188,0.001043,25.583
0.002208,0.062585,24.876
0.002229,0.10097,24.776
0.00225,0.144362,25.577
0.002271,0.168353,25.444
0.002292,0.154584,25.56
0.002312,0.084489,25.272
0.002333,-0.021905,24.742
0.002354,-0.108897,25.573
0.002375,-0.132471,24.92
0.002396,-0.098258,25.241
0.002417,-0.035256,25.284
0.002438,0.050902,24.953
0.002458,0.129967,25.184
0.002479,0.185459,25.277
0.0025,0.217794,25.113
0.002521,0.209658,24.67
0.002542,0.161051,25.089
0.002562,0.08741,25.398
0.002583,0.011682,24.792
0.002604,-0.04068,24.955
0.002625,-0.035047,24.869
0.002646,0.009179,25.555
0.002667,0.045687,25.202
0.002688,0.07677,25.122
0.002708,0.097632,24.769
0.002729,0.114947,25.162
0.00275,0.1356,24.798
0.002771,0.117033,25.01
0.002792,0.061124,24.809
0.002812,-0.018775,25.203
0.002833,-0.088662,25.173
0.002854,-0.096589,24.938
0.002875,-0.070929,25.119
0.002896,-0.024825,24.672
0.002917,0.025868,24.553
0.002938,0.053197,25.132
0.002958,0.071972,25.05
0.002979,0.08282,25.191
0.003,0.078022,25.715
0.003021,0.044644,25.283
0.003042,-0.027329,24.726
0.003062,-0.118911,25.335
0.003083,-0.176906,24.605
0.003104,-0.178783,24.862
0.003125,-0.148117,24.98
0.003146,-0.092834,25.514
0.003167,-0.03922,24.777
0.003188,0.00146,24.752
0.003208,0.043809,24.97
0.003229,0.080734,24.801
0.00325,0.075727,25.338
0.003271,0.018984,24.676
0.003292,-0.061124,24.656
0.003312,-0.134557,24.869
0.003333,-0.16877,24.851
0.003354,-0.155627,25.579
0.003375,-0.127673,25.285
0.003396,-0.102222,25.026
0.003417,-0.070512,24.632
0.003438,-0.049233,25.253
0.003458,-0.035465,24.7
0.003479,-0.043392,24.537
0.0035,-0.075727,25.356
0.003521,-0.118076,25.095
0.003542,-0.16126,25.276
0.003562,-0.163972,25.096
0.003583,-0.119119,25.257
0.003604,-0.046313,24.805
0.003625,0.017524,24.69
0.003646,0.051945,25.204
0.003667,0.073433,24.759
0.003688,0.086367,24.793
0.003708,0.074893,24.863
0.003729,0.054031,25.005
0.00375,0.010639,24.894
0.003771,-0.042558,24.588
0.003792,-0.053614,24.807
0.003812,-0.041723,24.333
0.003833,-0.009805,25.188
0.003854,0.017315,24.519
0.003875,0.044644,24.669
0.003896,0.073641,25.016
0.003917,0.093042,24.778
0.003938,0.124961,25.463
0.003958,0.133097,24.612
0.003979,0.107437,25.08
0.004,0.05883,24.988
0.004021,0.016063,24.65
0.004042,0.016063,25.157
0.004062,0.052988,24.949
0.004083,0.085324,25.232
0.004104,0.100135,25.247
0.004125,0.105977,25.649
0.004146,0.103265,25.401
0.004167,0.093877,24.889
0.004188,0.061542,24.928
0.004208,0.014603,25.33
0.004229,-0.053406,25.197
0.00425,-0.118911,25.192
0.004271,-0.13706,24.515
0.004292,-0.094503,24.993
0.004312,-0.020653,24.779
0.004333,0.035465,25.084
0.004354,0.085532,24.971
0.004375,0.132054,25.273
0.004396,0.162511,25.095
0.004417,0.159382,25.236
0.004438,0.119745,24.86
0.004458,0.059873,24.717
0.004479,-0.021696,24.877
0.0045,-0.088453,24.995
0.004521,-0.113278,25.114
0.004542,-0.097841,25.678
0.004562,-0.058204,24.987
0.004583,-0.021487,24.713
0.004604,0.01961,24.896
0.004625,0.062167,24.861
0.004646,0.086158,25.144
0.004667,0.091791,24.538
0.004688,0.063419,25.019
0.004708,0.012308,25.047
0.004729,-0.021905,25.07
0.00475,-0.037759,24.821
0.004771,-0.040263,24.929
0.004792,-0.03922,24.573
0.004812,-0.039846,24.852
0.004833,-0.042766,24.837
0.004854,-0.036508,25.125
0.004875,-0.022322,24.653
0.004896,-0.019818,25.234
0.004917,-0.033378,25.448
0.004938,-0.066131,24.379
0.004958,-0.095963,25.128
0.004979,-0.105977,25.203
0.005,-0.086575,24.809
0.005021,-0.042975,24.881
0.005042,-0.022739,24.96
0.005062,-0.008345,24.911
0.005083,0.023991,24.907
0.005104,0.056743,24.497
0.005125,0.08136,25.346
0.005146,0.065297,25.324
0.005167,0.01502,24.756
0.005188,-0.034839,24.56
0.005208,-0.06321,25.156
0.005229,-0.045478,24.827
0.00525,0.006258,25.043
0.005271,0.057578,24.904
0.005292,0.088453,25.207
0.005312,0.095963,25.208
0.005333,0.106602,24.782
0.005354,0.127881,24.585
0.005375,0.12809,24.525
0.005396,0.101387,25.183
0.005417,0.056535,24.643
0.005438,0.015438,24.848
0.005458,0.014812,24.821
0.005479,0.058204,24.984
0.0055,0.092417,24.419
0.005521,0.100553,25.057
0.005542,0.102222,25.157
0.005562,0.109523,25.027
0.005583,0.138729,24.907
0.005604,0.158756,25.029
0.005625,0.145822,25.12
0.005646,0.098049,24.168
0.005667,0.034422,25.587
0.005688,-0.008553,25.117
0.005708,-0.021905,24.804
0.005729,-0.02107,24.883
0.00575,-0.015855,25.148
0.005771,-0.011265,24.965
0.005792,-0.002712,24.391
0.005812,0.036299,25.619
0.005833,0.088662,24.967
0.005854,0.124335,25.306
0.005875,0.114321,24.792
0.005896,0.070721,25.461
0.005917,0.01502,25.086
0.005938,-0.028163,25.183
0.005958,-0.008553,24.686
0.005979,0.026703,25.363
0.006,0.032753,25.207
0.006021,0.028163,25.391
0.006042,0.028372,24.812
0.006062,0.053823,24.856
0.006083,0.076562,25.691
0.006104,0.059038,24.682
0.006125,0.014186,24.959
0.006146,-0.038802,25.341
0.006167,-0.059038,25.029
0.006188,-0.038594,25.175
0.006208,-0.00897,24.88
0.006229,0.001252,25.111
0.00625,-0.012934,24.608
0.006271,-0.022739,25.497
0.006292,-0.010848,24.965
0.006312,0.021696,24.796
0.006333,0.034213,25.2
0.006354,0.003964,24.862
0.006375,-0.050276,24.6
0.006396,-0.091165,24.596
0.006417,-0.08595,25.208
0.006438,-0.071346,24.952
0.006458,-0.06321,24.96
0.006479,-0.059873,25.323
0.0065,-0.073433,24.662
0.006521,-0.066757,24.781
0.006542,-0.036299,24.885
0.006562,-0.005424,25.028
0.006583,0.011265,24.987
0.006604,-0.004798,24.914
0.006625,-0.03171,24.982
0.006646,-0.038385,24.968
0.006667,-0.021905,24.784
0.006688,-0.000626,24.756
0.006708,0.012517,25.082
0.006729,0.022739,24.733
0.00675,0.041097,24.653
0.006771,0.068009,24.906
0.006792,0.084906,24.953
0.006812,0.095963,25.677
0.006833,0.0799,24.789
0.006854,0.015229,25.283
0.006875,-0.038594,25.224
0.006896,-0.038385,24.643
0.006917,-0.005007,25.232
0.006938,0.017315,24.645
0.006958,0.014603,24.202
0.006979,0.029415,25.182
0.007,0.065922,24.473
0.007021,0.095129,25.135
0.007042,0.117242,24.795
0.007062,0.105768,25.498
0.007083,0.069678,25.321
0.007104,0.03171,24.864
0.007125,0.012308,24.794
0.007146,0.037134,24.636
0.007167,0.055909,24.868
0.007188,0.045478,24.916
0.007208,0.032753,24.891
0.007229,0.032753,25.047
0.00725,0.043392,25.174
0.007271,0.043183,25.105
0.007292,0.042349,24.771
0.007312,0.031501,24.569
0.007333,-0.002295,25.409
0.007354,-0.016898,24.793
0.007375,0.008136,24.804
0.007396,0.04214,24.844
0.007417,0.063836,24.447
0.007438,0.075102,24.857
0.007458,0.072598,24.856
0.007479,0.086993,25.186
0.0075,0.103682,25.21
0.007521,0.091791,25.001
0.007542,0.041723,25.28
0.007562,-0.041097,25.102
0.007583,-0.097215,24.995
0.007604,-0.102847,25.048
0.007625,-0.072807,24.943
